calendarDate,maxHeartRate,minHeartRate,restingHeartRate,lastSevenDaysAvgRestingHeartRate
2020-03-29,132.0,57.0,67.0,64.0
2020-03-30,159.0,55.0,62.0,64.0
2020-03-31,115.0,53.0,56.0,63.0
2020-04-01,168.0,48.0,62.0,63.0
2020-04-02,107.0,41.0,59.0,62.0
2020-04-03,164.0,47.0,59.0,61.0
2020-04-04,125.0,42.0,62.0,61.0
2020-04-05,128.0,48.0,61.0,60.0
2020-04-06,146.0,51.0,60.0,60.0
2020-04-07,185.0,52.0,56.0,60.0
2020-04-08,150.0,54.0,62.0,60.0
2020-04-09,151.0,46.0,56.0,59.0
2020-04-10,167.0,38.0,59.0,59.0
2020-04-11,138.0,53.0,60.0,59.0
2020-04-12,144.0,47.0,56.0,58.0
2020-04-13,139.0,50.0,53.0,57.0
2020-04-14,187.0,31.0,55.0,57.0
2020-04-15,143.0,51.0,57.0,57.0
2020-04-16,164.0,49.0,55.0,56.0
2020-04-17,164.0,51.0,57.0,56.0
2020-04-18,159.0,47.0,60.0,56.0
2020-04-19,110.0,42.0,58.0,56.0
2020-04-20,176.0,50.0,54.0,57.0
2020-04-21,153.0,54.0,60.0,57.0
2020-04-22,99.0,50.0,58.0,57.0
2020-04-23,168.0,48.0,59.0,58.0
2020-04-24,136.0,54.0,61.0,59.0
2020-04-25,166.0,51.0,58.0,58.0
2020-04-26,135.0,55.0,58.0,58.0
2020-04-27,165.0,45.0,47.0,57.0
2020-04-28,138.0,51.0,59.0,57.0
2020-04-29,129.0,50.0,59.0,57.0
2020-04-30,143.0,44.0,59.0,57.0
2020-05-01,179.0,59.0,65.0,58.0
2020-05-02,139.0,46.0,52.0,57.0
2020-05-03,170.0,48.0,58.0,57.0
2020-05-04,118.0,52.0,63.0,59.0
2020-05-05,102.0,50.0,58.0,59.0
2020-05-06,154.0,42.0,63.0,60.0
2020-05-07,161.0,43.0,64.0,60.0
2020-05-08,126.0,45.0,63.0,60.0
2020-05-09,157.0,34.0,53.0,60.0
2020-05-10,168.0,51.0,59.0,60.0
2020-05-11,117.0,48.0,61.0,60.0
2020-05-12,122.0,54.0,60.0,60.0
2020-05-13,165.0,49.0,62.0,60.0
2020-05-14,162.0,50.0,62.0,60.0
2020-05-15,152.0,49.0,61.0,60.0
2020-05-16,130.0,50.0,63.0,61.0
2020-05-17,167.0,50.0,56.0,61.0
2020-05-18,125.0,43.0,51.0,59.0
2020-05-19,115.0,48.0,56.0,59.0
2020-05-20,170.0,50.0,58.0,58.0
2020-05-21,130.0,57.0,59.0,58.0
2020-05-22,164.0,49.0,65.0,58.0
2020-05-23,164.0,53.0,62.0,58.0
2020-05-24,118.0,48.0,54.0,58.0
2020-05-25,143.0,49.0,56.0,59.0
2020-05-26,160.0,52.0,62.0,59.0
2020-05-27,152.0,50.0,60.0,60.0
2020-05-28,136.0,52.0,62.0,60.0
2020-05-29,113.0,51.0,60.0,59.0
2020-05-30,164.0,43.0,60.0,59.0
2020-05-31,124.0,51.0,63.0,60.0
2020-06-01,164.0,45.0,51.0,60.0
2020-06-02,172.0,38.0,52.0,58.0
2020-06-03,165.0,45.0,62.0,59.0
2020-06-04,122.0,51.0,60.0,58.0
2020-06-05,167.0,57.0,67.0,59.0
2020-06-06,128.0,56.0,65.0,60.0
2020-06-07,180.0,56.0,59.0,59.0
2020-06-08,129.0,54.0,62.0,61.0
2020-06-09,131.0,53.0,63.0,63.0
2020-06-10,169.0,55.0,63.0,63.0
2020-06-11,152.0,52.0,53.0,62.0
2020-06-12,169.0,42.0,56.0,60.0
2020-06-13,137.0,61.0,68.0,61.0
2020-06-14,166.0,49.0,60.0,61.0
2020-06-15,118.0,39.0,59.0,60.0
2020-06-16,125.0,36.0,42.0,57.0
2020-06-17,113.0,55.0,67.0,58.0
2020-06-18,177.0,57.0,63.0,59.0
2020-06-19,135.0,57.0,64.0,60.0
2020-06-20,116.0,61.0,65.0,60.0
2020-06-21,163.0,53.0,57.0,60.0
2020-06-22,127.0,51.0,60.0,60.0
2020-06-23,170.0,50.0,61.0,62.0
2020-06-24,132.0,47.0,57.0,61.0
2020-06-25,141.0,49.0,50.0,59.0
2020-06-26,171.0,50.0,56.0,58.0
2020-06-27,187.0,55.0,60.0,57.0
2020-06-28,109.0,49.0,60.0,58.0
2020-06-29,160.0,46.0,59.0,58.0
2020-06-30,119.0,44.0,57.0,57.0
2020-07-01,144.0,51.0,59.0,57.0
2020-07-02,164.0,44.0,61.0,59.0
2020-07-03,130.0,51.0,61.0,60.0
2020-07-04,143.0,52.0,55.0,59.0
2020-07-05,117.0,48.0,60.0,59.0
2020-07-06,179.0,54.0,59.0,59.0
2020-07-07,133.0,46.0,54.0,58.0
2020-07-08,169.0,46.0,57.0,58.0
2020-07-09,164.0,52.0,60.0,58.0
2020-07-10,129.0,42.0,61.0,58.0
2020-07-11,139.0,42.0,50.0,57.0
2020-07-12,131.0,42.0,53.0,56.0
2020-07-13,165.0,41.0,55.0,56.0
2020-07-14,134.0,46.0,56.0,56.0
2020-07-15,167.0,50.0,63.0,57.0
2020-07-16,127.0,44.0,60.0,57.0
2020-07-17,168.0,49.0,58.0,56.0
2020-07-18,117.0,52.0,55.0,57.0
2020-07-19,118.0,44.0,58.0,58.0
2020-07-20,173.0,54.0,58.0,58.0
2020-07-21,,,,
2020-07-22,,,,
2020-07-23,,,,
2020-07-24,,,,
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,,,
2020-07-28,,,,
2020-07-29,,,,
2020-07-30,,,,
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,,,
2020-08-04,,,,
2020-08-05,,,,
2020-08-06,,,,
2020-08-07,,,,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,,,
2020-08-11,,,,
2020-08-12,,,,
2020-08-13,,,,
2020-08-14,,,,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,,,
2020-08-18,,,,
2020-08-19,,,,
2020-08-20,,,,
2020-08-21,,,,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,,,
2020-08-25,,,,
2020-08-26,,,,
2020-08-27,,,,
2020-08-28,,,,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,,,
2020-09-01,,,,
2020-09-02,,,,
2020-09-03,,,,
2020-09-04,,,,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,,,
2020-09-08,,,,
2020-09-09,,,,
2020-09-10,,,,
2020-09-11,,,,
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,,,
2020-09-15,,,,
2020-09-16,,,,
2020-09-17,,,,
2020-09-18,,,,
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,,,
2020-09-22,,,,
2020-09-23,,,,
2020-09-24,,,,
2020-09-25,,,,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
